stage,ecg_id,index,sample,time_s,rr_prev_ms,rr_next_ms,status
stage1,96,0,217,0.434,,816.0,algorithm_only_not_gold_standard
stage1,96,1,625,1.25,816.0,798.0,algorithm_only_not_gold_standard
stage1,96,2,1024,2.048,798.0,794.0,algorithm_only_not_gold_standard
stage1,96,3,1421,2.842,794.0,794.0,algorithm_only_not_gold_standard
stage1,96,4,1818,3.636,794.0,790.0,algorithm_only_not_gold_standard
stage1,96,5,2213,4.426,790.0,784.0,algorithm_only_not_gold_standard
stage1,96,6,2605,5.21,784.0,788.0,algorithm_only_not_gold_standard
stage1,96,7,2999,5.998,788.0,790.0,algorithm_only_not_gold_standard
stage1,96,8,3394,6.788,790.0,790.0,algorithm_only_not_gold_standard
stage1,96,9,3789,7.578,790.0,796.0,algorithm_only_not_gold_standard
stage1,96,10,4187,8.374,796.0,798.0,algorithm_only_not_gold_standard
stage1,96,11,4586,9.172,798.0,,algorithm_only_not_gold_standard
stage1,104,0,340,0.68,,1046.0,algorithm_only_not_gold_standard
stage1,104,1,863,1.726,1046.0,1010.0,algorithm_only_not_gold_standard
stage1,104,2,1368,2.736,1010.0,922.0,algorithm_only_not_gold_standard
stage1,104,3,1829,3.658,922.0,848.0,algorithm_only_not_gold_standard
stage1,104,4,2253,4.506,848.0,892.0,algorithm_only_not_gold_standard
stage1,104,5,2699,5.398,892.0,1026.0,algorithm_only_not_gold_standard
stage1,104,6,3212,6.424,1026.0,986.0,algorithm_only_not_gold_standard
stage1,104,7,3705,7.41,986.0,882.0,algorithm_only_not_gold_standard
stage1,104,8,4146,8.292,882.0,884.0,algorithm_only_not_gold_standard
stage1,104,9,4588,9.176,884.0,,algorithm_only_not_gold_standard
stage1,138,0,45,0.09,,646.0,algorithm_only_not_gold_standard
stage1,138,1,368,0.736,646.0,644.0,algorithm_only_not_gold_standard
stage1,138,2,690,1.38,644.0,648.0,algorithm_only_not_gold_standard
stage1,138,3,1014,2.028,648.0,648.0,algorithm_only_not_gold_standard
stage1,138,4,1338,2.676,648.0,648.0,algorithm_only_not_gold_standard
stage1,138,5,1662,3.324,648.0,650.0,algorithm_only_not_gold_standard
stage1,138,6,1987,3.974,650.0,650.0,algorithm_only_not_gold_standard
stage1,138,7,2312,4.624,650.0,642.0,algorithm_only_not_gold_standard
stage1,138,8,2633,5.266,642.0,644.0,algorithm_only_not_gold_standard
stage1,138,9,2955,5.91,644.0,652.0,algorithm_only_not_gold_standard
stage1,138,10,3281,6.562,652.0,650.0,algorithm_only_not_gold_standard
stage1,138,11,3606,7.212,650.0,644.0,algorithm_only_not_gold_standard
stage1,138,12,3928,7.856,644.0,642.0,algorithm_only_not_gold_standard
stage1,138,13,4249,8.498,642.0,640.0,algorithm_only_not_gold_standard
stage1,138,14,4569,9.138,640.0,650.0,algorithm_only_not_gold_standard
stage1,138,15,4894,9.788,650.0,,algorithm_only_not_gold_standard
stage1,150,0,85,0.17,,328.0,algorithm_only_not_gold_standard
stage1,150,1,249,0.498,328.0,976.0,algorithm_only_not_gold_standard
stage1,150,2,737,1.474,976.0,328.0,algorithm_only_not_gold_standard
stage1,150,3,901,1.802,328.0,884.0,algorithm_only_not_gold_standard
stage1,150,4,1343,2.686,884.0,328.0,algorithm_only_not_gold_standard
stage1,150,5,1507,3.014,328.0,926.0,algorithm_only_not_gold_standard
stage1,150,6,1970,3.94,926.0,328.0,algorithm_only_not_gold_standard
