ecg_id,figure,stage,sample,plotted_time_s
358,zoom_358_0.png,stage1,53,0.106
358,zoom_358_0.png,stage1,400,0.8
358,zoom_358_0.png,stage1,528,1.056
358,zoom_358_0.png,stage1,862,1.724
358,zoom_358_0.png,stage1,990,1.98
358,zoom_358_0.png,stage2,53,0.106
358,zoom_358_0.png,stage2,400,0.8
358,zoom_358_0.png,stage2,862,1.724
900,zoom_900_0.png,stage1,381,0.762
900,zoom_900_0.png,stage1,793,1.586
900,zoom_900_0.png,stage1,1178,2.356
900,zoom_900_0.png,stage1,1564,3.128
900,zoom_900_0.png,stage2,381,0.762
900,zoom_900_0.png,stage2,793,1.586
900,zoom_900_0.png,stage2,1178,2.356
900,zoom_900_0.png,stage2,1564,3.128
1385,zoom_1385_0.png,stage1,397,0.794
1385,zoom_1385_0.png,stage1,884,1.768
1385,zoom_1385_0.png,stage1,1380,2.76
1385,zoom_1385_0.png,stage2,397,0.794
1385,zoom_1385_0.png,stage2,884,1.768
1385,zoom_1385_0.png,stage2,1380,2.76
2179,zoom_2179_0.png,stage1,254,0.508
2179,zoom_2179_0.png,stage1,712,1.424
2179,zoom_2179_0.png,stage1,1176,2.352
2179,zoom_2179_0.png,stage2,254,0.508
2179,zoom_2179_0.png,stage2,712,1.424
2179,zoom_2179_0.png,stage2,1176,2.352
2557,zoom_2557_0.png,stage1,38,0.076
2557,zoom_2557_0.png,stage1,601,1.202
2557,zoom_2557_0.png,stage1,1175,2.35
2557,zoom_2557_0.png,stage2,38,0.076
2557,zoom_2557_0.png,stage2,601,1.202
2557,zoom_2557_0.png,stage2,1175,2.35
2762,zoom_2762_0.png,stage1,3222,6.444
2762,zoom_2762_0.png,stage1,3373,6.746
2762,zoom_2762_0.png,stage2,3222,6.444
2762,zoom_2762_1.png,stage1,4295,8.59
2762,zoom_2762_1.png,stage1,4442,8.884
2762,zoom_2762_1.png,stage2,4295,8.59
2858,zoom_2858_0.png,stage1,198,0.396
2858,zoom_2858_0.png,stage1,340,0.68
2858,zoom_2858_0.png,stage1,699,1.398
