stage,cohort,scheme,fold,seed,model,ecg_id,n_features,n_missing
stage1,all300,exploratory,1,0,A,96,24,0
stage1,all300,exploratory,1,0,A,1217,24,0
stage1,all300,exploratory,1,0,A,2858,24,24
stage1,all300,exploratory,1,0,A,3621,24,0
stage1,all300,exploratory,1,0,A,4398,24,0
stage1,all300,exploratory,1,0,A,5453,24,0
stage1,all300,exploratory,1,0,A,5984,24,0
stage1,all300,exploratory,1,0,A,6554,24,0
stage1,all300,exploratory,1,0,A,6888,24,0
stage1,all300,exploratory,1,0,A,9057,24,0
stage1,all300,exploratory,1,0,A,9747,24,0
stage1,all300,exploratory,1,0,A,10702,24,0
stage1,all300,exploratory,1,0,A,10746,24,0
stage1,all300,exploratory,1,0,A,11011,24,0
stage1,all300,exploratory,1,0,A,11526,24,0
stage1,all300,exploratory,1,0,A,11924,24,24
stage1,all300,exploratory,1,0,A,12663,24,0
stage1,all300,exploratory,1,0,A,13919,24,24
stage1,all300,exploratory,1,0,A,14453,24,0
stage1,all300,exploratory,1,0,A,17745,24,0
stage1,all300,exploratory,1,0,A,17907,24,0
stage1,all300,exploratory,1,0,A,18572,24,24
stage1,all300,exploratory,1,0,A,19035,24,0
stage1,all300,exploratory,1,0,A,19248,24,0
stage1,all300,exploratory,1,0,A,19331,24,0
stage1,all300,exploratory,1,0,A,19489,24,0
stage1,all300,exploratory,1,0,A,19493,24,0
stage1,all300,exploratory,1,0,A,21775,24,0
stage1,all300,exploratory,1,0,B,96,52,0
stage1,all300,exploratory,1,0,B,1217,52,0
stage1,all300,exploratory,1,0,B,2858,52,52
stage1,all300,exploratory,1,0,B,3621,52,0
stage1,all300,exploratory,1,0,B,4398,52,0
stage1,all300,exploratory,1,0,B,5453,52,0
stage1,all300,exploratory,1,0,B,5984,52,0
stage1,all300,exploratory,1,0,B,6554,52,0
stage1,all300,exploratory,1,0,B,6888,52,0
stage1,all300,exploratory,1,0,B,9057,52,0
stage1,all300,exploratory,1,0,B,9747,52,0
stage1,all300,exploratory,1,0,B,10702,52,0
stage1,all300,exploratory,1,0,B,10746,52,0
stage1,all300,exploratory,1,0,B,11011,52,0
stage1,all300,exploratory,1,0,B,11526,52,0
stage1,all300,exploratory,1,0,B,11924,52,52
stage1,all300,exploratory,1,0,B,12663,52,0
stage1,all300,exploratory,1,0,B,13919,52,52
stage1,all300,exploratory,1,0,B,14453,52,0
stage1,all300,exploratory,1,0,B,17745,52,0
stage1,all300,exploratory,1,0,B,17907,52,0
stage1,all300,exploratory,1,0,B,18572,52,52
stage1,all300,exploratory,1,0,B,19035,52,0
stage1,all300,exploratory,1,0,B,19248,52,0
stage1,all300,exploratory,1,0,B,19331,52,0
stage1,all300,exploratory,1,0,B,19489,52,0
stage1,all300,exploratory,1,0,B,19493,52,0
stage1,all300,exploratory,1,0,B,21775,52,0
stage1,all300,exploratory,1,0,C,96,92,0
stage1,all300,exploratory,1,0,C,1217,92,0
stage1,all300,exploratory,1,0,C,2858,92,92
stage1,all300,exploratory,1,0,C,3621,92,0
stage1,all300,exploratory,1,0,C,4398,92,0
stage1,all300,exploratory,1,0,C,5453,92,0
stage1,all300,exploratory,1,0,C,5984,92,0
stage1,all300,exploratory,1,0,C,6554,92,0
stage1,all300,exploratory,1,0,C,6888,92,0
stage1,all300,exploratory,1,0,C,9057,92,0
stage1,all300,exploratory,1,0,C,9747,92,0
stage1,all300,exploratory,1,0,C,10702,92,0
stage1,all300,exploratory,1,0,C,10746,92,0
stage1,all300,exploratory,1,0,C,11011,92,0
stage1,all300,exploratory,1,0,C,11526,92,0
stage1,all300,exploratory,1,0,C,11924,92,92
stage1,all300,exploratory,1,0,C,12663,92,0
stage1,all300,exploratory,1,0,C,13919,92,92
stage1,all300,exploratory,1,0,C,14453,92,0
stage1,all300,exploratory,1,0,C,17745,92,0
stage1,all300,exploratory,1,0,C,17907,92,0
stage1,all300,exploratory,1,0,C,18572,92,92
stage1,all300,exploratory,1,0,C,19035,92,0
stage1,all300,exploratory,1,0,C,19248,92,0
stage1,all300,exploratory,1,0,C,19331,92,0
stage1,all300,exploratory,1,0,C,19489,92,0
stage1,all300,exploratory,1,0,C,19493,92,0
stage1,all300,exploratory,1,0,C,21775,92,0
stage1,all300,exploratory,1,7001,A,96,24,0
stage1,all300,exploratory,1,7001,A,1217,24,0
stage1,all300,exploratory,1,7001,A,2858,24,24
stage1,all300,exploratory,1,7001,A,3621,24,0
stage1,all300,exploratory,1,7001,A,4398,24,0
stage1,all300,exploratory,1,7001,A,5453,24,0
stage1,all300,exploratory,1,7001,A,5984,24,0
stage1,all300,exploratory,1,7001,A,6554,24,0
stage1,all300,exploratory,1,7001,A,6888,24,0
stage1,all300,exploratory,1,7001,A,9057,24,0
stage1,all300,exploratory,1,7001,A,9747,24,0
stage1,all300,exploratory,1,7001,A,10702,24,0
stage1,all300,exploratory,1,7001,A,10746,24,0
stage1,all300,exploratory,1,7001,A,11011,24,0
stage1,all300,exploratory,1,7001,A,11526,24,0
stage1,all300,exploratory,1,7001,A,11924,24,24
stage1,all300,exploratory,1,7001,A,12663,24,0
stage1,all300,exploratory,1,7001,A,13919,24,24
stage1,all300,exploratory,1,7001,A,14453,24,0
stage1,all300,exploratory,1,7001,A,17745,24,0
stage1,all300,exploratory,1,7001,A,17907,24,0
stage1,all300,exploratory,1,7001,A,18572,24,24
stage1,all300,exploratory,1,7001,A,19035,24,0
stage1,all300,exploratory,1,7001,A,19248,24,0
stage1,all300,exploratory,1,7001,A,19331,24,0
stage1,all300,exploratory,1,7001,A,19489,24,0
stage1,all300,exploratory,1,7001,A,19493,24,0
stage1,all300,exploratory,1,7001,A,21775,24,0
stage1,all300,exploratory,1,7001,B,96,52,0
stage1,all300,exploratory,1,7001,B,1217,52,0
stage1,all300,exploratory,1,7001,B,2858,52,52
stage1,all300,exploratory,1,7001,B,3621,52,0
stage1,all300,exploratory,1,7001,B,4398,52,0
stage1,all300,exploratory,1,7001,B,5453,52,0
stage1,all300,exploratory,1,7001,B,5984,52,0
stage1,all300,exploratory,1,7001,B,6554,52,0
stage1,all300,exploratory,1,7001,B,6888,52,0
stage1,all300,exploratory,1,7001,B,9057,52,0
stage1,all300,exploratory,1,7001,B,9747,52,0
stage1,all300,exploratory,1,7001,B,10702,52,0
stage1,all300,exploratory,1,7001,B,10746,52,0
stage1,all300,exploratory,1,7001,B,11011,52,0
stage1,all300,exploratory,1,7001,B,11526,52,0
stage1,all300,exploratory,1,7001,B,11924,52,52
stage1,all300,exploratory,1,7001,B,12663,52,0
stage1,all300,exploratory,1,7001,B,13919,52,52
stage1,all300,exploratory,1,7001,B,14453,52,0
stage1,all300,exploratory,1,7001,B,17745,52,0
stage1,all300,exploratory,1,7001,B,17907,52,0
stage1,all300,exploratory,1,7001,B,18572,52,52
stage1,all300,exploratory,1,7001,B,19035,52,0
stage1,all300,exploratory,1,7001,B,19248,52,0
stage1,all300,exploratory,1,7001,B,19331,52,0
stage1,all300,exploratory,1,7001,B,19489,52,0
stage1,all300,exploratory,1,7001,B,19493,52,0
stage1,all300,exploratory,1,7001,B,21775,52,0
stage1,all300,exploratory,1,7001,C,96,92,0
stage1,all300,exploratory,1,7001,C,1217,92,0
stage1,all300,exploratory,1,7001,C,2858,92,92
stage1,all300,exploratory,1,7001,C,3621,92,0
stage1,all300,exploratory,1,7001,C,4398,92,0
stage1,all300,exploratory,1,7001,C,5453,92,0
stage1,all300,exploratory,1,7001,C,5984,92,0
stage1,all300,exploratory,1,7001,C,6554,92,0
stage1,all300,exploratory,1,7001,C,6888,92,0
stage1,all300,exploratory,1,7001,C,9057,92,0
stage1,all300,exploratory,1,7001,C,9747,92,0
stage1,all300,exploratory,1,7001,C,10702,92,0
stage1,all300,exploratory,1,7001,C,10746,92,0
stage1,all300,exploratory,1,7001,C,11011,92,0
stage1,all300,exploratory,1,7001,C,11526,92,0
stage1,all300,exploratory,1,7001,C,11924,92,92
stage1,all300,exploratory,1,7001,C,12663,92,0
stage1,all300,exploratory,1,7001,C,13919,92,92
stage1,all300,exploratory,1,7001,C,14453,92,0
stage1,all300,exploratory,1,7001,C,17745,92,0
stage1,all300,exploratory,1,7001,C,17907,92,0
stage1,all300,exploratory,1,7001,C,18572,92,92
stage1,all300,exploratory,1,7001,C,19035,92,0
