stage,cohort,scheme,seed,model,fold,n,auroc,balanced_accuracy
stage1,all300,exploratory,0,A,1,28,0.7833333333333333,0.7555555555555555
stage1,all300,exploratory,0,A,2,41,0.8719806763285024,0.8731884057971014
stage1,all300,exploratory,0,A,3,37,0.9152046783625731,0.8654970760233918
stage1,all300,exploratory,0,A,4,35,0.7762237762237763,0.6486013986013985
stage1,all300,exploratory,0,A,5,38,0.9588068181818182,0.84375
stage1,all300,exploratory,0,A,6,39,0.9472222222222222,0.9375
stage1,all300,exploratory,0,A,7,39,0.7894736842105263,0.6657894736842105
stage1,all300,exploratory,0,A,8,43,0.7543478260869565,0.7043478260869566
stage1,all300,exploratory,0,B,1,28,0.8222222222222222,0.7833333333333333
stage1,all300,exploratory,0,B,2,41,0.8792270531400966,0.8731884057971014
stage1,all300,exploratory,0,B,3,37,0.9269005847953217,0.8640350877192983
stage1,all300,exploratory,0,B,4,35,0.7622377622377622,0.6783216783216783
stage1,all300,exploratory,0,B,5,38,0.9872159090909091,0.875
stage1,all300,exploratory,0,B,6,39,0.9333333333333333,0.9375
stage1,all300,exploratory,0,B,7,39,0.7473684210526316,0.6657894736842105
stage1,all300,exploratory,0,B,8,43,0.782608695652174,0.7510869565217391
stage1,all300,exploratory,0,C,1,28,0.8222222222222222,0.7833333333333333
stage1,all300,exploratory,0,C,2,41,0.8599033816425121,0.8514492753623188
stage1,all300,exploratory,0,C,3,37,0.9269005847953217,0.8640350877192983
stage1,all300,exploratory,0,C,4,35,0.7832167832167832,0.6783216783216783
stage1,all300,exploratory,0,C,5,38,0.9872159090909091,0.875
stage1,all300,exploratory,0,C,6,39,0.9361111111111111,0.9375
stage1,all300,exploratory,0,C,7,39,0.7473684210526316,0.6657894736842105
stage1,all300,exploratory,0,C,8,43,0.8021739130434783,0.7978260869565217
stage1,all300,exploratory,7001,A,1,28,0.7833333333333333,0.7555555555555555
stage1,all300,exploratory,7001,A,2,41,0.8719806763285024,0.8731884057971014
stage1,all300,exploratory,7001,A,3,37,0.9152046783625731,0.8654970760233918
stage1,all300,exploratory,7001,A,4,35,0.7762237762237763,0.6486013986013985
stage1,all300,exploratory,7001,A,5,38,0.9588068181818182,0.84375
stage1,all300,exploratory,7001,A,6,39,0.9472222222222222,0.9375
stage1,all300,exploratory,7001,A,7,39,0.7894736842105263,0.6657894736842105
stage1,all300,exploratory,7001,A,8,43,0.7543478260869565,0.7043478260869566
stage1,all300,exploratory,7001,B,1,28,0.8222222222222222,0.7833333333333333
stage1,all300,exploratory,7001,B,2,41,0.8792270531400966,0.8731884057971014
stage1,all300,exploratory,7001,B,3,37,0.9269005847953217,0.8640350877192983
stage1,all300,exploratory,7001,B,4,35,0.7622377622377622,0.6783216783216783
stage1,all300,exploratory,7001,B,5,38,0.9872159090909091,0.875
stage1,all300,exploratory,7001,B,6,39,0.9333333333333333,0.9375
stage1,all300,exploratory,7001,B,7,39,0.7473684210526316,0.6657894736842105
stage1,all300,exploratory,7001,B,8,43,0.782608695652174,0.7510869565217391
stage1,all300,exploratory,7001,C,1,28,0.8222222222222222,0.7833333333333333
stage1,all300,exploratory,7001,C,2,41,0.8792270531400966,0.8514492753623188
stage1,all300,exploratory,7001,C,3,37,0.935672514619883,0.8640350877192983
stage1,all300,exploratory,7001,C,4,35,0.7622377622377622,0.6555944055944056
stage1,all300,exploratory,7001,C,5,38,0.9872159090909091,0.875
stage1,all300,exploratory,7001,C,6,39,0.9222222222222223,0.8708333333333333
stage1,all300,exploratory,7001,C,7,39,0.7315789473684211,0.6657894736842105
stage1,all300,exploratory,7001,C,8,43,0.7717391304347826,0.7510869565217391
stage1,all300,exploratory,7002,A,1,28,0.7833333333333333,0.7555555555555555
stage1,all300,exploratory,7002,A,2,41,0.8719806763285024,0.8731884057971014
stage1,all300,exploratory,7002,A,3,37,0.9152046783625731,0.8654970760233918
stage1,all300,exploratory,7002,A,4,35,0.7762237762237763,0.6486013986013985
stage1,all300,exploratory,7002,A,5,38,0.9588068181818182,0.84375
stage1,all300,exploratory,7002,A,6,39,0.9472222222222222,0.9375
stage1,all300,exploratory,7002,A,7,39,0.7894736842105263,0.6657894736842105
stage1,all300,exploratory,7002,A,8,43,0.7543478260869565,0.7043478260869566
stage1,all300,exploratory,7002,B,1,28,0.8222222222222222,0.7833333333333333
stage1,all300,exploratory,7002,B,2,41,0.8792270531400966,0.8731884057971014
stage1,all300,exploratory,7002,B,3,37,0.9269005847953217,0.8640350877192983
stage1,all300,exploratory,7002,B,4,35,0.7622377622377622,0.6783216783216783
