stage,cohort,scheme,seed,model,n_expected,n_evaluated,n_missing,auroc,balanced_accuracy,coverage
stage1,all300,exploratory,0,A,300,300,0,0.8440666666666666,0.7866666666666666,complete
stage1,all300,exploratory,0,B,300,300,0,0.8503333333333334,0.8066666666666666,complete
stage1,all300,exploratory,0,C,300,300,0,0.8484222222222222,0.81,complete
stage1,all300,exploratory,7001,A,300,300,0,0.8440666666666666,0.7866666666666666,complete
stage1,all300,exploratory,7001,B,300,300,0,0.8503333333333334,0.8066666666666666,complete
stage1,all300,exploratory,7001,C,300,300,0,0.845,0.7933333333333333,complete
stage1,all300,exploratory,7002,A,300,300,0,0.8440666666666666,0.7866666666666666,complete
stage1,all300,exploratory,7002,B,300,300,0,0.8503333333333334,0.8066666666666666,complete
stage1,all300,exploratory,7002,C,300,300,0,0.8502444444444445,0.8066666666666666,complete
stage1,all300,exploratory,7003,A,300,300,0,0.8440666666666666,0.7866666666666666,complete
stage1,all300,exploratory,7003,B,300,300,0,0.8503333333333334,0.8066666666666666,complete
stage1,all300,exploratory,7003,C,300,300,0,0.8514888888888889,0.7933333333333333,complete
stage1,all300,exploratory,7004,A,300,300,0,0.8440666666666666,0.7866666666666666,complete
stage1,all300,exploratory,7004,B,300,300,0,0.8503333333333334,0.8066666666666666,complete
stage1,all300,exploratory,7004,C,300,300,0,0.8457555555555556,0.7966666666666666,complete
stage1,all300,exploratory,7005,A,300,300,0,0.8440666666666666,0.7866666666666666,complete
stage1,all300,exploratory,7005,B,300,300,0,0.8503333333333334,0.8066666666666666,complete
stage1,all300,exploratory,7005,C,300,300,0,0.8483777777777778,0.8033333333333333,complete
stage1,all300,strict,0,A,300,67,233,0.8704761904761905,0.8609523809523809,partial_not_full_CV
stage1,all300,strict,0,B,300,67,233,0.8809523809523809,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,0,C,300,67,233,0.8819047619047619,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,7001,A,300,67,233,0.8704761904761905,0.8609523809523809,partial_not_full_CV
stage1,all300,strict,7001,B,300,67,233,0.8809523809523809,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,7001,C,300,67,233,0.8695238095238095,0.8328571428571429,partial_not_full_CV
stage1,all300,strict,7002,A,300,67,233,0.8704761904761905,0.8609523809523809,partial_not_full_CV
stage1,all300,strict,7002,B,300,67,233,0.8809523809523809,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,7002,C,300,67,233,0.8771428571428571,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,7003,A,300,67,233,0.8704761904761905,0.8609523809523809,partial_not_full_CV
stage1,all300,strict,7003,B,300,67,233,0.8809523809523809,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,7003,C,300,67,233,0.8809523809523809,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,7004,A,300,67,233,0.8704761904761905,0.8609523809523809,partial_not_full_CV
stage1,all300,strict,7004,B,300,67,233,0.8809523809523809,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,7004,C,300,67,233,0.8761904761904762,0.8528571428571429,partial_not_full_CV
stage1,all300,strict,7005,A,300,67,233,0.8704761904761905,0.8609523809523809,partial_not_full_CV
stage1,all300,strict,7005,B,300,67,233,0.8809523809523809,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,7005,C,300,67,233,0.88,0.8609523809523809,partial_not_full_CV
stage1,common_valid,exploratory,0,A,285,285,0,0.8499063762688479,0.7936335862816596,complete
stage1,common_valid,exploratory,0,B,285,285,0,0.8585296146644328,0.8008278308859762,complete
stage1,common_valid,exploratory,0,C,285,285,0,0.8563122105055682,0.8044249531881345,complete
stage1,common_valid,exploratory,7001,A,285,285,0,0.8499063762688479,0.7936335862816596,complete
stage1,common_valid,exploratory,7001,B,285,285,0,0.8585296146644328,0.8008278308859762,complete
stage1,common_valid,exploratory,7001,C,285,285,0,0.8527150882034099,0.7938060510495712,complete
stage1,common_valid,exploratory,7002,A,285,285,0,0.8499063762688479,0.7936335862816596,complete
stage1,common_valid,exploratory,7002,B,285,285,0,0.8585296146644328,0.8008278308859762,complete
