stage,cohort,scheme,seed,model,n_expected,n_evaluated,n_missing,auroc,balanced_accuracy,coverage
old_invalid,all300,leaky_old,0,A,300,300,0,0.8440222222222222,0.7933333333333333,withdrawn_not_valid_CV
old_invalid,all300,leaky_old,0,B,300,300,0,0.8531333333333333,0.8066666666666666,withdrawn_not_valid_CV
old_invalid,all300,leaky_old,0,C,300,300,0,0.8525111111111111,0.8066666666666666,withdrawn_not_valid_CV
stage1,all300,exploratory,0,A,300,300,0,0.8440666666666666,0.7866666666666666,complete
stage1,all300,exploratory,0,B,300,300,0,0.8503333333333334,0.8066666666666666,complete
stage1,all300,exploratory,0,C,300,300,0,0.8484222222222222,0.81,complete
stage1,all300,strict,0,A,300,67,233,0.8704761904761905,0.8609523809523809,partial_not_full_CV
stage1,all300,strict,0,B,300,67,233,0.8809523809523809,0.8728571428571428,partial_not_full_CV
stage1,all300,strict,0,C,300,67,233,0.8819047619047619,0.8728571428571428,partial_not_full_CV
stage2,all300,exploratory,0,A,300,300,0,0.8592444444444445,0.8166666666666667,complete
stage2,all300,exploratory,0,B,300,300,0,0.8687555555555555,0.8200000000000001,complete
stage2,all300,exploratory,0,C,300,300,0,0.8695111111111111,0.8166666666666667,complete
stage2,all300,strict,0,A,300,226,74,0.8870841180163214,0.8481638418079096,partial_not_full_CV
stage2,all300,strict,0,B,300,226,74,0.8935969868173258,0.8524011299435028,partial_not_full_CV
stage2,all300,strict,0,C,300,226,74,0.8945386064030132,0.8570307595731325,partial_not_full_CV
