stage,cohort,scheme,seed,comparison,n,delta_auroc,auroc_low,auroc_high,delta_balanced_accuracy,ba_low,ba_high
stage1,all300,exploratory,0,B-A,300,0.006266666666666754,-0.006804444444444363,0.019692222222222305,0.020000000000000018,-0.0033333333333332993,0.046666666666666634
stage1,all300,exploratory,0,C-B,300,-0.0019111111111111967,-0.011071111111111115,0.005422222222222217,0.0033333333333334103,-0.013333333333333197,0.01666666666666672
stage1,all300,exploratory,7001,B-A,300,0.006266666666666754,-0.006804444444444363,0.019692222222222305,0.020000000000000018,-0.0033333333333332993,0.046666666666666634
stage1,all300,exploratory,7001,C-B,300,-0.005333333333333412,-0.011066666666666669,-0.0005777777777777882,-0.013333333333333308,-0.030000000000000027,1.1102230246251565e-16
stage1,all300,exploratory,7001,original_C-minus-shuffled_C,300,0.0034222222222222154,-0.004577777777777792,0.010892222222222277,0.01666666666666672,0.0,0.03341666666666669
stage1,all300,exploratory,7002,B-A,300,0.006266666666666754,-0.006804444444444363,0.019692222222222305,0.020000000000000018,-0.0033333333333332993,0.046666666666666634
stage1,all300,exploratory,7002,C-B,300,-8.88888888889161e-05,-0.0060444444444444105,0.005022222222222153,0.0,-0.010000000000000009,0.010000000000000009
stage1,all300,exploratory,7002,original_C-minus-shuffled_C,300,-0.0018222222222222806,-0.009156666666666586,0.0044000000000000705,0.0033333333333334103,-0.013333333333333197,0.019999999999999907
stage1,all300,exploratory,7003,B-A,300,0.006266666666666754,-0.006804444444444363,0.019692222222222305,0.020000000000000018,-0.0033333333333332993,0.046666666666666634
stage1,all300,exploratory,7003,C-B,300,0.0011555555555554653,-0.004044444444444406,0.0065777777777777935,-0.013333333333333308,-0.026666666666666727,-0.0033333333333332993
stage1,all300,exploratory,7003,original_C-minus-shuffled_C,300,-0.003066666666666662,-0.010312222222222162,0.0032911111111111175,0.01666666666666672,0.0,0.03333333333333344
stage1,all300,exploratory,7004,B-A,300,0.006266666666666754,-0.006804444444444363,0.019692222222222305,0.020000000000000018,-0.0033333333333332993,0.046666666666666634
stage1,all300,exploratory,7004,C-B,300,-0.004577777777777792,-0.01013444444444444,0.0003555555555555534,-0.010000000000000009,-0.023416666666666752,0.0033333333333332993
stage1,all300,exploratory,7004,original_C-minus-shuffled_C,300,0.002666666666666595,-0.0032911111111111196,0.00822444444444446,0.01333333333333342,-0.0033333333333332993,0.030000000000000027
stage1,all300,exploratory,7005,B-A,300,0.006266666666666754,-0.006804444444444363,0.019692222222222305,0.020000000000000018,-0.0033333333333332993,0.046666666666666634
stage1,all300,exploratory,7005,C-B,300,-0.0019555555555555992,-0.00755555555555554,0.0027133333333333293,-0.0033333333333332993,-0.01333333333333342,0.00666666666666671
