ecg_id,lead_index,lead,amplitude_range_p99_p1_mv,flatline_fraction_diff_lt_0.001mv,longest_flatline_samples,quantized_value_fraction,median_abs_diff_mv,p95_abs_diff_mv,flag_flatline_gt_0.20
96,0,I,0.655,0.23904780956191238,51,0.0304,0.003999999999999997,0.034000000000000016,True
96,1,II,3.172070000000001,0.3132626525305061,50,0.0146,0.0030000000000000027,0.06739999999999798,True
96,2,III,2.627100000000002,0.35087017403480697,51,0.0204,0.002999999999999989,0.04600000000000004,True
96,3,aVR,1.8580199999999998,0.23464692938587717,50,0.0136,0.0030000000000000027,0.048999999999999995,True
96,4,aVL,1.0420100000000003,0.248249649929986,51,0.013,0.0020000000000000018,0.027999999999999997,True
96,5,aVF,2.886040000000001,0.2654530906181236,51,0.0102,0.0020000000000000018,0.057999999999999996,True
96,6,V1,2.2060100000000005,0.46649329865973194,52,0.0466,0.0010000000000000009,0.09219999999999888,True
96,7,V2,2.5863500000000013,0.35167033406681336,52,0.0212,0.003000000000000001,0.07200000000000006,True
96,8,V3,1.672,0.32306461292258454,52,0.0212,0.0030000000000000027,0.049,True
96,9,V4,3.5431900000000036,0.4174834966993399,52,0.0244,0.0020000000000000018,0.1191999999999989,True
96,10,V5,2.983260000000005,0.4416883376675335,53,0.0394,0.0010000000000000009,0.06619999999999891,True
96,11,V6,2.3010200000000003,0.47429485897179435,110,0.036,0.0010000000000000009,0.063,True
104,0,I,0.8410200000000004,0.390878175635127,49,0.0368,0.0019999999999999983,0.017,True
104,1,II,1.0161500000000032,0.5181036207241448,139,0.0338,0.0,0.023999999999999994,True
104,2,III,0.7860100000000001,0.5745149029805962,49,0.0388,0.0,0.023999999999999994,True
104,3,aVR,0.7830699999999999,0.41648329665933187,49,0.0214,0.0010000000000000009,0.016,True
104,4,aVL,0.65,0.4212842568513703,49,0.0266,0.0010000000000000009,0.018000000000000016,True
104,5,aVF,0.835060000000001,0.46969393878775756,49,0.024,0.0010000000000000009,0.025999999999999995,True
104,6,V1,1.0800300000000003,0.5997199439887978,71,0.0636,0.0,0.03699999999999993,True
104,7,V2,1.18605,0.5623124624924986,80,0.0714,0.0,0.03709999999999946,True
104,8,V3,1.2300400000000002,0.5101020204040808,81,0.0532,0.000999999999999987,0.034,True
104,9,V4,1.5901500000000022,0.5037007401480296,55,0.0338,0.000999999999999994,0.03400000000000003,True
104,10,V5,1.3120300000000007,0.5093018603720744,90,0.0284,0.0009999999999999731,0.023999999999999994,True
104,11,V6,0.8500200000000004,0.5619123824764953,81,0.0352,0.0,0.014999999999999987,True
138,0,I,0.6210300000000005,0.20104020804160833,55,0.0242,0.004,0.03909999999999948,True
138,1,II,1.507060000000001,0.21204240848169634,55,0.0164,0.004,0.097,True
138,2,III,0.9381500000000027,0.34506901380276056,57,0.0208,0.0020000000000000018,0.046000000000000006,True
138,3,aVR,1.03506,0.1770354070814163,55,0.0176,0.0030000000000000027,0.069,False
138,4,aVL,0.27701,0.21664332866573316,58,0.0314,0.002999999999999989,0.016,True
138,5,aVF,1.2320200000000003,0.21044208841768353,56,0.0118,0.003,0.07300000000000001,True
138,6,V1,1.92904,0.5017003400680136,59,0.0518,0.000999999999999994,0.12309999999999945,True
138,7,V2,3.2200100000000003,0.40328065613122627,55,0.0276,0.0010000000000000009,0.19899999999999987,True
138,8,V3,3.69305,0.23704740948189637,51,0.0196,0.0040000000000000036,0.1960999999999996,True
138,9,V4,1.6330900000000002,0.20764152830566113,54,0.0154,0.0040000000000000036,0.095,True
138,10,V5,3.4250900000000017,0.1840368073614723,52,0.0134,0.0040000000000000036,0.2253999999999979,False
138,11,V6,3.240310000000007,0.21184236847369473,53,0.0166,0.0040000000000000036,0.22109999999999946,True
150,0,I,1.341040000000001,0.04180836167233447,52,0.0236,0.013000000000000012,0.07199999999999998,False
150,1,II,1.1100700000000003,0.09721944388877776,53,0.0244,0.008,0.05809999999999946,False
150,2,III,1.2650200000000005,0.16283256651330266,54,0.0238,0.006000000000000005,0.05499999999999999,False
150,3,aVR,0.9650800000000004,0.05041008201640328,52,0.0232,0.010000000000000009,0.061000000000000006,False
150,4,aVL,1.1690100000000003,0.04980996199239848,52,0.0168,0.009999999999999995,0.055999999999999994,False
150,5,aVF,1.0120500000000003,0.09201840368073615,53,0.0144,0.006000000000000002,0.041,False
150,6,V1,1.3771200000000003,0.33646729345869175,50,0.036,0.0029999999999999957,0.037,True
150,7,V2,1.9770600000000003,0.26985397079415885,52,0.0302,0.0030000000000000027,0.037099999999999474,True
150,8,V3,2.20409,0.25825165033006603,66,0.0366,0.003999999999999997,0.051000000000000045,True
150,9,V4,2.42641,0.249249849969994,55,0.0392,0.004,0.05100000000000001,True
150,10,V5,2.5462300000000013,0.2684536907381476,59,0.0226,0.0030000000000000027,0.048,True
150,11,V6,1.6823500000000071,0.3080616123224645,52,0.0268,0.0030000000000000027,0.032099999999999455,True
333,0,I,0.518,0.07401480296059212,52,0.018,0.010999999999999996,0.062,False
333,1,II,1.1390600000000008,0.08001600320064013,53,0.016,0.01100000000000001,0.073,False
333,2,III,0.8410300000000003,0.3996799359871974,57,0.0212,0.0020000000000000018,0.03,True
333,3,aVR,0.7820400000000003,0.07081416283256652,53,0.0168,0.010999999999999996,0.06799999999999999,False
333,4,aVL,0.4370300000000006,0.09761952390478096,53,0.0178,0.005999999999999998,0.034,False
333,5,aVF,0.9510400000000003,0.08721744348869774,52,0.0134,0.006000000000000005,0.045000000000000005,False
333,6,V1,2.86011,0.34566913382676534,53,0.0108,0.0020000000000000018,0.051000000000000045,True
333,7,V2,3.28507,0.2036407281456291,54,0.0108,0.0040000000000000036,0.10809999999999946,True
333,8,V3,2.96019,0.20064012802560513,57,0.0126,0.0040000000000000036,0.1341999999999989,True
333,9,V4,3.7730800000000007,0.24284856971394278,54,0.016,0.0040000000000000036,0.16009999999999938,True
333,10,V5,2.95902,0.2788557711542308,58,0.0148,0.0030000000000000027,0.08699999999999997,True
333,11,V6,1.6382300000000038,0.3070614122824565,54,0.0164,0.0030000000000000027,0.043000000000000003,True
358,0,I,0.741,0.20184036807361472,54,0.0172,0.004,0.036,True
358,1,II,0.6120100000000002,0.40428085617123427,55,0.0266,0.0020000000000000018,0.030000000000000002,True
358,2,III,0.27501000000000025,0.3576715343068614,54,0.0242,0.0020000000000000018,0.022000000000000006,True
358,3,aVR,0.65403,0.22244448889777957,54,0.018,0.0030000000000000027,0.031,True
358,4,aVL,0.4530200000000005,0.21924384876975395,54,0.0128,0.0030000000000000027,0.027999999999999983,True
358,5,aVF,0.3660300000000004,0.28465693138627723,54,0.0188,0.0020000000000000018,0.01899999999999999,True
358,6,V1,0.5500300000000005,0.5401080216043208,81,0.0396,0.0,0.01899999999999999,True
