lead,threshold_mv,flag_fraction,median_fraction,median_longest_lowdiff_s,max_longest_lowdiff_s,median_exact_repeat_fraction
I,0.0005,0.6066666666666667,0.23264652930586116,0.104,0.178,0.23264652930586116
I,0.001,0.67,0.2524504900980196,0.104,0.178,0.23264652930586116
I,0.002,0.8633333333333333,0.3664732946589318,0.106,0.182,0.23264652930586116
I,0.005,0.9766666666666667,0.6634326865373075,0.149,0.692,0.23264652930586116
II,0.0005,0.8566666666666667,0.3525705141028206,0.108,0.278,0.3525705141028206
II,0.001,0.8666666666666667,0.3667733546709342,0.108,0.278,0.3525705141028206
II,0.002,0.9466666666666667,0.4647929585917183,0.108,0.278,0.3525705141028206
II,0.005,0.9966666666666667,0.7198439687937588,0.248,0.84,0.3525705141028206
III,0.0005,0.9,0.42538507701540307,0.108,0.272,0.42538507701540307
III,0.001,0.9066666666666666,0.4482896579315863,0.108,0.272,0.42538507701540307
III,0.002,0.9566666666666667,0.5407081416283257,0.11,0.272,0.42538507701540307
III,0.005,1.0,0.7971594318863773,0.3,1.014,0.42538507701540307
V1,0.0005,0.99,0.4942988597719544,0.114,0.334,0.4942988597719544
V1,0.001,0.9966666666666667,0.5131026205241048,0.114,0.334,0.4942988597719544
V1,0.002,1.0,0.6000200040008001,0.116,0.336,0.4942988597719544
V1,0.005,1.0,0.8240648129625925,0.447,1.274,0.4942988597719544
V2,0.0005,0.97,0.3968793758751751,0.11,0.272,0.3968793758751751
V2,0.001,0.9733333333333334,0.40848169633926784,0.11,0.272,0.3968793758751751
V2,0.002,0.9933333333333333,0.49099819963992797,0.112,0.272,0.3968793758751751
V2,0.005,1.0,0.705741148229646,0.388,0.926,0.3968793758751751
V3,0.0005,0.9666666666666667,0.3834766953390678,0.11,0.272,0.3834766953390678
V3,0.001,0.9766666666666667,0.39387877575515107,0.11,0.272,0.3834766953390678
V3,0.002,1.0,0.47639527905581114,0.11,0.272,0.3834766953390678
V3,0.005,1.0,0.7007401480296059,0.357,0.87,0.3834766953390678
V4,0.0005,0.97,0.4011802360472094,0.11,0.268,0.4011802360472094
V4,0.001,0.9733333333333334,0.41088217643528707,0.11,0.268,0.4011802360472094
V4,0.002,1.0,0.49659931986397277,0.11,0.272,0.4011802360472094
V4,0.005,1.0,0.7341468293658732,0.373,1.042,0.4011802360472094
V5,0.0005,0.9766666666666667,0.4250850170034007,0.11,0.242,0.4250850170034007
V5,0.001,0.9833333333333333,0.43558711742348466,0.11,0.242,0.4250850170034007
V5,0.002,1.0,0.5259051810362072,0.112,0.244,0.4250850170034007
V5,0.005,1.0,0.7671534306861372,0.408,1.04,0.4250850170034007
V6,0.0005,0.99,0.4551910382076415,0.11,0.298,0.4551910382076415
V6,0.001,0.9933333333333333,0.46779355871174233,0.11,0.298,0.4551910382076415
V6,0.002,1.0,0.5577115423084618,0.112,0.3,0.4551910382076415
V6,0.005,1.0,0.7987597519503902,0.41,1.002,0.4551910382076415
aVF,0.0005,0.76,0.3075615123024605,0.106,0.142,0.3075615123024605
aVF,0.001,0.8166666666666667,0.32936587317463495,0.106,0.142,0.3075615123024605
aVF,0.002,0.94,0.47509501900380074,0.106,0.176,0.3075615123024605
aVF,0.005,1.0,0.7671534306861372,0.208,0.946,0.3075615123024605
aVL,0.0005,0.68,0.2608521704340868,0.106,0.142,0.2608521704340868
aVL,0.001,0.73,0.2874574914982997,0.106,0.142,0.2608521704340868
aVL,0.002,0.92,0.4351870374074815,0.106,0.154,0.2608521704340868
aVL,0.005,0.9866666666666667,0.7434486897379476,0.173,0.716,0.2608521704340868
aVR,0.0005,0.6533333333333333,0.2523504700940188,0.104,0.14,0.2523504700940188
aVR,0.001,0.6966666666666667,0.2694538907781556,0.104,0.14,0.2523504700940188
aVR,0.002,0.9033333333333333,0.40098019603920787,0.106,0.148,0.2523504700940188
aVR,0.005,0.9866666666666667,0.6917383476695339,0.169,0.706,0.2523504700940188
