stage,ecg_id,source_peak_index,r_peak_sample,r_peak_time_s,left_sample,right_sample,rr_prev_ms,rr_next_ms,valid,failure_reason,beat_index
stage2,96,0,217,0.434,,421.0,,816.0,False,edge_no_two_neighbors,-1
stage2,96,1,625,1.25,421.0,824.5,816.0,798.0,True,,0
stage2,96,2,1024,2.048,824.5,1222.5,798.0,794.0,True,,1
stage2,96,3,1421,2.842,1222.5,1619.5,794.0,794.0,True,,2
stage2,96,4,1818,3.636,1619.5,2015.5,794.0,790.0,True,,3
stage2,96,5,2213,4.426,2015.5,2409.0,790.0,784.0,True,,4
stage2,96,6,2605,5.21,2409.0,2802.0,784.0,788.0,True,,5
stage2,96,7,2999,5.998,2802.0,3196.5,788.0,790.0,True,,6
stage2,96,8,3394,6.788,3196.5,3591.5,790.0,790.0,True,,7
stage2,96,9,3789,7.578,3591.5,3988.0,790.0,796.0,True,,8
stage2,96,10,4187,8.374,3988.0,4386.5,796.0,798.0,True,,9
stage2,96,11,4586,9.172,4386.5,,798.0,,False,edge_no_two_neighbors,-1
stage2,104,0,340,0.68,,601.5,,1046.0,False,edge_no_two_neighbors,-1
stage2,104,1,863,1.726,601.5,1115.5,1046.0,1010.0,True,,0
stage2,104,2,1368,2.736,1115.5,1598.5,1010.0,922.0,True,,1
stage2,104,3,1829,3.658,1598.5,2041.0,922.0,848.0,True,,2
stage2,104,4,2253,4.506,2041.0,2476.0,848.0,892.0,True,,3
stage2,104,5,2699,5.398,2476.0,2955.5,892.0,1026.0,True,,4
stage2,104,6,3212,6.424,2955.5,3458.5,1026.0,986.0,True,,5
stage2,104,7,3705,7.41,3458.5,3925.5,986.0,882.0,True,,6
stage2,104,8,4146,8.292,3925.5,4367.0,882.0,884.0,True,,7
stage2,104,9,4588,9.176,4367.0,,884.0,,False,edge_no_two_neighbors,-1
stage2,138,0,45,0.09,,206.5,,646.0,False,edge_no_two_neighbors,-1
stage2,138,1,368,0.736,206.5,529.0,646.0,644.0,True,,0
stage2,138,2,690,1.38,529.0,852.0,644.0,648.0,True,,1
stage2,138,3,1014,2.028,852.0,1176.0,648.0,648.0,True,,2
stage2,138,4,1338,2.676,1176.0,1500.0,648.0,648.0,True,,3
stage2,138,5,1662,3.324,1500.0,1824.5,648.0,650.0,True,,4
stage2,138,6,1987,3.974,1824.5,2149.5,650.0,650.0,True,,5
stage2,138,7,2312,4.624,2149.5,2472.5,650.0,642.0,True,,6
stage2,138,8,2633,5.266,2472.5,2794.0,642.0,644.0,True,,7
stage2,138,9,2955,5.91,2794.0,3118.0,644.0,652.0,True,,8
stage2,138,10,3281,6.562,3118.0,3443.5,652.0,650.0,True,,9
stage2,138,11,3606,7.212,3443.5,3767.0,650.0,644.0,True,,10
stage2,138,12,3928,7.856,3767.0,4088.5,644.0,642.0,True,,11
stage2,138,13,4249,8.498,4088.5,4409.0,642.0,640.0,True,,12
stage2,138,14,4569,9.138,4409.0,4731.5,640.0,650.0,True,,13
stage2,138,15,4894,9.788,4731.5,,650.0,,False,edge_no_two_neighbors,-1
stage2,150,0,85,0.17,,411.0,,1304.0,False,edge_no_two_neighbors,-1
stage2,150,1,737,1.474,411.0,1040.0,1304.0,1212.0,True,,0
stage2,150,2,1343,2.686,1040.0,1656.5,1212.0,1254.0,True,,1
stage2,150,3,1970,3.94,1656.5,2268.5,1254.0,1194.0,True,,2
stage2,150,4,2567,5.134,2268.5,2867.5,1194.0,1202.0,True,,3
stage2,150,5,3168,6.336,2867.5,3475.5,1202.0,1230.0,True,,4
stage2,150,6,3783,7.566,3475.5,4074.5,1230.0,1166.0,True,,5
stage2,150,7,4366,8.732,4074.5,,1166.0,,False,edge_no_two_neighbors,-1
stage2,333,0,325,0.65,,517.5,,770.0,False,edge_no_two_neighbors,-1
stage2,333,1,710,1.42,517.5,911.0,770.0,804.0,True,,0
stage2,333,2,1112,2.224,911.0,1312.5,804.0,802.0,True,,1
stage2,333,3,1513,3.026,1312.5,1714.5,802.0,806.0,True,,2
stage2,333,4,1916,3.832,1714.5,2120.5,806.0,818.0,True,,3
stage2,333,5,2325,4.65,2120.5,2529.5,818.0,818.0,True,,4
stage2,333,6,2734,5.468,2529.5,2939.0,818.0,820.0,True,,5
stage2,333,7,3144,6.288,2939.0,3351.5,820.0,830.0,True,,6
stage2,333,8,3559,7.118,3351.5,3770.0,830.0,844.0,True,,7
stage2,333,9,3981,7.962,3770.0,4189.5,844.0,834.0,True,,8
stage2,333,10,4398,8.796,4189.5,4608.0,834.0,840.0,True,,9
stage2,333,11,4818,9.636,4608.0,,840.0,,False,edge_no_two_neighbors,-1
stage2,358,0,53,0.106,,226.5,,694.0,False,edge_no_two_neighbors,-1
stage2,358,1,400,0.8,226.5,631.0,694.0,924.0,True,,0
stage2,358,2,862,1.724,631.0,1090.5,924.0,914.0,True,,1
stage2,358,3,1319,2.638,1090.5,1552.5,914.0,934.0,True,,2
stage2,358,4,1786,3.572,1552.5,2024.0,934.0,952.0,True,,3
stage2,358,5,2262,4.524,2024.0,2499.5,952.0,950.0,True,,4
stage2,358,6,2737,5.474,2499.5,2972.0,950.0,940.0,True,,5
stage2,358,7,3207,6.414,2972.0,3445.0,940.0,952.0,True,,6
stage2,358,8,3683,7.366,3445.0,3921.0,952.0,952.0,True,,7
stage2,358,9,4159,8.318,3921.0,4392.5,952.0,934.0,True,,8
stage2,358,10,4626,9.252,4392.5,,934.0,,False,edge_no_two_neighbors,-1
stage2,443,0,225,0.45,,437.5,,850.0,False,edge_no_two_neighbors,-1
stage2,443,1,650,1.3,437.5,858.0,850.0,832.0,True,,0
stage2,443,2,1066,2.132,858.0,1273.0,832.0,828.0,True,,1
stage2,443,3,1480,2.96,1273.0,1689.0,828.0,836.0,True,,2
stage2,443,4,1898,3.796,1689.0,2106.5,836.0,834.0,True,,3
stage2,443,5,2315,4.63,2106.5,2522.0,834.0,828.0,True,,4
stage2,443,6,2729,5.458,2522.0,2942.0,828.0,852.0,True,,5
stage2,443,7,3155,6.31,2942.0,3364.5,852.0,838.0,True,,6
stage2,443,8,3574,7.148,3364.5,3785.5,838.0,846.0,True,,7
stage2,443,9,3997,7.994,3785.5,4210.5,846.0,854.0,True,,8
stage2,443,10,4424,8.848,4210.5,4637.0,854.0,852.0,True,,9
stage2,443,11,4850,9.7,4637.0,,852.0,,False,edge_no_two_neighbors,-1
stage2,578,0,12,0.024,,204.5,,770.0,False,edge_no_two_neighbors,-1
stage2,578,1,397,0.794,204.5,601.0,770.0,816.0,True,,0
stage2,578,2,805,1.61,601.0,1001.5,816.0,786.0,True,,1
stage2,578,3,1198,2.396,1001.5,1399.5,786.0,806.0,True,,2
stage2,578,4,1601,3.202,1399.5,1808.0,806.0,828.0,True,,3
stage2,578,5,2015,4.03,1808.0,2221.0,828.0,824.0,True,,4
stage2,578,6,2427,4.854,2221.0,2633.0,824.0,824.0,True,,5
stage2,578,7,2839,5.678,2633.0,3044.5,824.0,822.0,True,,6
stage2,578,8,3250,6.5,3044.5,3437.0,822.0,748.0,True,,7
stage2,578,9,3624,7.248,3437.0,3820.0,748.0,784.0,True,,8
stage2,578,10,4016,8.032,3820.0,4219.5,784.0,814.0,True,,9
stage2,578,11,4423,8.846,4219.5,4633.5,814.0,842.0,True,,10
stage2,578,12,4844,9.688,4633.5,,842.0,,False,edge_no_two_neighbors,-1
stage2,602,0,265,0.53,,475.5,,842.0,False,edge_no_two_neighbors,-1
stage2,602,1,686,1.372,475.5,893.5,842.0,830.0,True,,0
stage2,602,2,1101,2.202,893.5,1314.0,830.0,852.0,True,,1
stage2,602,3,1527,3.054,1314.0,1729.0,852.0,808.0,True,,2
stage2,602,4,1931,3.862,1729.0,2138.0,808.0,828.0,True,,3
stage2,602,5,2345,4.69,2138.0,2580.0,828.0,940.0,True,,4
stage2,602,6,2815,5.63,2580.0,3052.5,940.0,950.0,True,,5
stage2,602,7,3290,6.58,3052.5,3585.5,950.0,1182.0,True,,6
stage2,602,8,3881,7.762,3585.5,4149.0,1182.0,1072.0,True,,7
stage2,602,9,4417,8.834,4149.0,4654.5,1072.0,950.0,True,,8
stage2,602,10,4892,9.784,4654.5,,950.0,,False,edge_no_two_neighbors,-1
stage2,697,0,140,0.28,,275.5,,542.0,False,edge_no_two_neighbors,-1
stage2,697,1,411,0.822,275.5,660.5,542.0,998.0,True,,0
stage2,697,2,910,1.82,660.5,1103.0,998.0,772.0,True,,1
