stage,seed,ecg_id,valid_position,vector_origin
stage2,0,96,0,0
stage2,0,96,1,1
stage2,0,96,2,2
stage2,0,96,3,3
stage2,0,96,4,4
stage2,0,96,5,5
stage2,0,96,6,6
stage2,0,96,7,7
stage2,0,96,8,8
stage2,0,96,9,9
stage2,7001,96,0,3
stage2,7001,96,1,7
stage2,7001,96,2,0
stage2,7001,96,3,2
stage2,7001,96,4,8
stage2,7001,96,5,9
stage2,7001,96,6,4
stage2,7001,96,7,6
stage2,7001,96,8,1
stage2,7001,96,9,5
stage2,7002,96,0,4
stage2,7002,96,1,0
stage2,7002,96,2,9
stage2,7002,96,3,3
stage2,7002,96,4,5
stage2,7002,96,5,8
stage2,7002,96,6,6
stage2,7002,96,7,1
stage2,7002,96,8,2
stage2,7002,96,9,7
stage2,7003,96,0,3
stage2,7003,96,1,9
stage2,7003,96,2,8
stage2,7003,96,3,5
stage2,7003,96,4,7
stage2,7003,96,5,1
stage2,7003,96,6,4
stage2,7003,96,7,2
stage2,7003,96,8,0
stage2,7003,96,9,6
stage2,7004,96,0,9
stage2,7004,96,1,2
stage2,7004,96,2,0
stage2,7004,96,3,4
stage2,7004,96,4,3
stage2,7004,96,5,5
stage2,7004,96,6,7
stage2,7004,96,7,8
stage2,7004,96,8,1
stage2,7004,96,9,6
stage2,7005,96,0,0
stage2,7005,96,1,1
stage2,7005,96,2,5
stage2,7005,96,3,4
stage2,7005,96,4,8
stage2,7005,96,5,6
stage2,7005,96,6,7
stage2,7005,96,7,3
stage2,7005,96,8,2
stage2,7005,96,9,9
stage2,0,104,0,0
stage2,0,104,1,1
stage2,0,104,2,2
stage2,0,104,3,3
stage2,0,104,4,4
stage2,0,104,5,5
stage2,0,104,6,6
stage2,0,104,7,7
stage2,7001,104,0,3
stage2,7001,104,1,0
stage2,7001,104,2,4
stage2,7001,104,3,1
stage2,7001,104,4,7
stage2,7001,104,5,2
stage2,7001,104,6,5
stage2,7001,104,7,6
stage2,7002,104,0,3
stage2,7002,104,1,7
stage2,7002,104,2,4
stage2,7002,104,3,1
stage2,7002,104,4,2
stage2,7002,104,5,6
stage2,7002,104,6,0
stage2,7002,104,7,5
stage2,7003,104,0,2
stage2,7003,104,1,1
stage2,7003,104,2,3
stage2,7003,104,3,5
stage2,7003,104,4,4
stage2,7003,104,5,7
stage2,7003,104,6,6
stage2,7003,104,7,0
stage2,7004,104,0,2
stage2,7004,104,1,5
stage2,7004,104,2,1
stage2,7004,104,3,7
stage2,7004,104,4,4
stage2,7004,104,5,6
stage2,7004,104,6,0
stage2,7004,104,7,3
stage2,7005,104,0,4
stage2,7005,104,1,5
stage2,7005,104,2,2
stage2,7005,104,3,3
stage2,7005,104,4,1
stage2,7005,104,5,7
stage2,7005,104,6,6
stage2,7005,104,7,0
stage2,0,138,0,0
stage2,0,138,1,1
stage2,0,138,2,2
stage2,0,138,3,3
stage2,0,138,4,4
stage2,0,138,5,5
stage2,0,138,6,6
stage2,0,138,7,7
stage2,0,138,8,8
stage2,0,138,9,9
stage2,0,138,10,10
stage2,0,138,11,11
stage2,0,138,12,12
stage2,0,138,13,13
stage2,7001,138,0,3
stage2,7001,138,1,0
stage2,7001,138,2,11
stage2,7001,138,3,6
stage2,7001,138,4,5
stage2,7001,138,5,10
stage2,7001,138,6,1
stage2,7001,138,7,2
stage2,7001,138,8,9
stage2,7001,138,9,12
stage2,7001,138,10,13
stage2,7001,138,11,7
stage2,7001,138,12,4
stage2,7001,138,13,8
stage2,7002,138,0,9
stage2,7002,138,1,7
stage2,7002,138,2,11
stage2,7002,138,3,1
stage2,7002,138,4,4
stage2,7002,138,5,10
stage2,7002,138,6,5
stage2,7002,138,7,12
stage2,7002,138,8,2
stage2,7002,138,9,6
stage2,7002,138,10,8
stage2,7002,138,11,0
stage2,7002,138,12,3
stage2,7002,138,13,13
stage2,7003,138,0,4
stage2,7003,138,1,1
stage2,7003,138,2,10
stage2,7003,138,3,7
stage2,7003,138,4,3
stage2,7003,138,5,5
stage2,7003,138,6,13
stage2,7003,138,7,6
stage2,7003,138,8,2
stage2,7003,138,9,0
stage2,7003,138,10,9
stage2,7003,138,11,8
stage2,7003,138,12,11
stage2,7003,138,13,12
stage2,7004,138,0,3
stage2,7004,138,1,13
stage2,7004,138,2,5
stage2,7004,138,3,2
stage2,7004,138,4,10
stage2,7004,138,5,6
stage2,7004,138,6,11
stage2,7004,138,7,7
stage2,7004,138,8,4
stage2,7004,138,9,0
stage2,7004,138,10,8
stage2,7004,138,11,9
stage2,7004,138,12,12
stage2,7004,138,13,1
stage2,7005,138,0,0
stage2,7005,138,1,13
stage2,7005,138,2,5
stage2,7005,138,3,1
stage2,7005,138,4,2
stage2,7005,138,5,9
stage2,7005,138,6,12
stage2,7005,138,7,7
stage2,7005,138,8,6
stage2,7005,138,9,4
stage2,7005,138,10,3
stage2,7005,138,11,8
stage2,7005,138,12,10
stage2,7005,138,13,11
stage2,0,150,0,0
stage2,0,150,1,1
stage2,0,150,2,2
stage2,0,150,3,3
stage2,0,150,4,4
stage2,0,150,5,5
stage2,7001,150,0,5
stage2,7001,150,1,0
stage2,7001,150,2,2
stage2,7001,150,3,4
stage2,7001,150,4,3
stage2,7001,150,5,1
stage2,7002,150,0,0
stage2,7002,150,1,5
stage2,7002,150,2,3
stage2,7002,150,3,1
stage2,7002,150,4,2
stage2,7002,150,5,4
stage2,7003,150,0,2
stage2,7003,150,1,3
stage2,7003,150,2,0
stage2,7003,150,3,5
stage2,7003,150,4,4
stage2,7003,150,5,1
