ecg_id,fold,path,access
96,1,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00096_hr.hea,read_only
104,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00104_hr.hea,read_only
138,8,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00138_hr.hea,read_only
150,7,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00150_hr.hea,read_only
333,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00333_hr.hea,read_only
358,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00358_hr.hea,read_only
443,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00443_hr.hea,read_only
578,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00578_hr.hea,read_only
602,7,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00602_hr.hea,read_only
697,8,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00697_hr.hea,read_only
900,7,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00900_hr.hea,read_only
933,7,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\00000\00933_hr.hea,read_only
1004,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01004_hr.hea,read_only
1032,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01032_hr.hea,read_only
1154,5,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01154_hr.hea,read_only
1192,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01192_hr.hea,read_only
1217,1,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01217_hr.hea,read_only
1241,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01241_hr.hea,read_only
1358,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01358_hr.hea,read_only
1385,3,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01385_hr.hea,read_only
1446,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01446_hr.hea,read_only
1508,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01508_hr.hea,read_only
1691,5,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01691_hr.hea,read_only
1702,5,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01702_hr.hea,read_only
1779,8,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01779_hr.hea,read_only
1904,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01904_hr.hea,read_only
1913,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01913_hr.hea,read_only
1996,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\01000\01996_hr.hea,read_only
2005,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02005_hr.hea,read_only
2052,3,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02052_hr.hea,read_only
2179,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02179_hr.hea,read_only
2186,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02186_hr.hea,read_only
2197,7,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02197_hr.hea,read_only
2491,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02491_hr.hea,read_only
2533,5,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02533_hr.hea,read_only
2557,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02557_hr.hea,read_only
2647,5,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02647_hr.hea,read_only
2706,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02706_hr.hea,read_only
2762,8,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02762_hr.hea,read_only
2784,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02784_hr.hea,read_only
2858,1,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\02000\02858_hr.hea,read_only
3175,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03175_hr.hea,read_only
3205,7,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03205_hr.hea,read_only
3218,8,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03218_hr.hea,read_only
3228,7,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03228_hr.hea,read_only
3229,5,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03229_hr.hea,read_only
3316,8,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03316_hr.hea,read_only
3373,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03373_hr.hea,read_only
3388,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03388_hr.hea,read_only
3392,3,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03392_hr.hea,read_only
3402,7,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03402_hr.hea,read_only
3421,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03421_hr.hea,read_only
3535,3,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03535_hr.hea,read_only
3621,1,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03621_hr.hea,read_only
3753,5,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03753_hr.hea,read_only
3768,8,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03768_hr.hea,read_only
3778,4,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03778_hr.hea,read_only
3839,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03839_hr.hea,read_only
3840,8,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03840_hr.hea,read_only
3845,7,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03845_hr.hea,read_only
3853,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03853_hr.hea,read_only
3922,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\03000\03922_hr.hea,read_only
4022,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\04000\04022_hr.hea,read_only
4129,2,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\04000\04129_hr.hea,read_only
4144,6,D:\UserFiles\desktop\ECGdata\ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3\records500\04000\04144_hr.hea,read_only
