fold,model,n_train_patients,n_validation_patients,auroc,balanced_accuracy,optimizer_ok
1,A,272,28,0.7888888888888889,0.7555555555555555,True
1,B,272,28,0.8333333333333334,0.7833333333333333,True
1,C,272,28,0.8277777777777777,0.7833333333333333,True
2,A,259,41,0.8719806763285024,0.8731884057971014,True
2,B,259,41,0.8719806763285024,0.8514492753623188,True
2,C,259,41,0.8719806763285024,0.8514492753623188,True
3,A,263,37,0.9122807017543859,0.8654970760233918,True
3,B,263,37,0.9298245614035088,0.8640350877192983,True
3,C,263,37,0.9298245614035088,0.8640350877192983,True
4,A,265,35,0.7692307692307693,0.6713286713286714,True
4,B,265,35,0.7902097902097902,0.6783216783216783,True
4,C,265,35,0.7937062937062938,0.6783216783216783,True
5,A,262,38,0.9673295454545454,0.84375,True
5,B,262,38,0.9872159090909091,0.875,True
5,C,262,38,0.984375,0.875,True
6,A,261,39,0.9472222222222222,0.9375,True
6,B,261,39,0.9361111111111111,0.9375,True
6,C,261,39,0.9333333333333333,0.9375,True
7,A,261,39,0.7921052631578948,0.6907894736842105,True
7,B,261,39,0.7552631578947369,0.6657894736842105,True
7,C,261,39,0.7473684210526316,0.6657894736842105,True
8,A,257,43,0.7608695652173914,0.7043478260869566,True
8,B,257,43,0.7978260869565217,0.7760869565217392,True
8,C,257,43,0.8043478260869565,0.7760869565217392,True
