replicate,seed,fold,model,n_validation_patients,auroc,balanced_accuracy
1,7001,1,B_shuffled,28,0.8222222222222222,0.7833333333333333
1,7001,1,C_shuffled,28,0.8222222222222222,0.7833333333333333
1,7001,2,B_shuffled,41,0.8840579710144928,0.8514492753623188
1,7001,2,C_shuffled,41,0.8840579710144928,0.8514492753623188
1,7001,3,B_shuffled,37,0.9239766081871345,0.8640350877192983
1,7001,3,C_shuffled,37,0.9298245614035088,0.8640350877192983
1,7001,4,B_shuffled,35,0.7692307692307693,0.6783216783216783
1,7001,4,C_shuffled,35,0.7832167832167832,0.6783216783216783
1,7001,5,B_shuffled,38,0.9872159090909091,0.875
1,7001,5,C_shuffled,38,0.9872159090909091,0.875
1,7001,6,B_shuffled,39,0.9361111111111111,0.9375
1,7001,6,C_shuffled,39,0.9361111111111111,0.9375
1,7001,7,B_shuffled,39,0.7421052631578947,0.6657894736842105
1,7001,7,C_shuffled,39,0.7421052631578947,0.6657894736842105
1,7001,8,B_shuffled,43,0.782608695652174,0.7760869565217392
1,7001,8,C_shuffled,43,0.782608695652174,0.7760869565217392
2,7002,1,B_shuffled,28,0.8277777777777777,0.7833333333333333
2,7002,1,C_shuffled,28,0.8222222222222222,0.7833333333333333
2,7002,2,B_shuffled,41,0.8647342995169082,0.8514492753623188
2,7002,2,C_shuffled,41,0.8623188405797102,0.8514492753623188
2,7002,3,B_shuffled,37,0.9327485380116959,0.8640350877192983
2,7002,3,C_shuffled,37,0.9327485380116959,0.8640350877192983
2,7002,4,B_shuffled,35,0.7657342657342657,0.6783216783216783
2,7002,4,C_shuffled,35,0.7692307692307693,0.6783216783216783
2,7002,5,B_shuffled,38,0.984375,0.875
2,7002,5,C_shuffled,38,0.9786931818181818,0.875
2,7002,6,B_shuffled,39,0.9388888888888889,0.9375
2,7002,6,C_shuffled,39,0.9388888888888889,0.9375
2,7002,7,B_shuffled,39,0.7447368421052631,0.6657894736842105
2,7002,7,C_shuffled,39,0.7447368421052631,0.6657894736842105
2,7002,8,B_shuffled,43,0.7891304347826087,0.7760869565217392
2,7002,8,C_shuffled,43,0.7913043478260869,0.7760869565217392
3,7003,1,B_shuffled,28,0.8222222222222222,0.7833333333333333
3,7003,1,C_shuffled,28,0.8222222222222222,0.7833333333333333
3,7003,2,B_shuffled,41,0.8792270531400966,0.8514492753623188
3,7003,2,C_shuffled,41,0.8768115942028986,0.8514492753623188
3,7003,3,B_shuffled,37,0.9298245614035088,0.8640350877192983
3,7003,3,C_shuffled,37,0.9298245614035088,0.8640350877192983
3,7003,4,B_shuffled,35,0.7727272727272727,0.6783216783216783
3,7003,4,C_shuffled,35,0.7902097902097902,0.6783216783216783
3,7003,5,B_shuffled,38,0.9900568181818182,0.875
3,7003,5,C_shuffled,38,0.9872159090909091,0.875
3,7003,6,B_shuffled,39,0.9416666666666667,0.9375
3,7003,6,C_shuffled,39,0.9416666666666667,0.9375
3,7003,7,B_shuffled,39,0.7394736842105263,0.6407894736842106
3,7003,7,C_shuffled,39,0.7368421052631579,0.6407894736842106
3,7003,8,B_shuffled,43,0.7891304347826087,0.7760869565217392
3,7003,8,C_shuffled,43,0.7891304347826087,0.7760869565217392
4,7004,1,B_shuffled,28,0.8222222222222222,0.7833333333333333
4,7004,1,C_shuffled,28,0.8222222222222222,0.7833333333333333
4,7004,2,B_shuffled,41,0.8792270531400966,0.8731884057971014
4,7004,2,C_shuffled,41,0.8816425120772947,0.8514492753623188
4,7004,3,B_shuffled,37,0.9298245614035088,0.8640350877192983
4,7004,3,C_shuffled,37,0.9298245614035088,0.8640350877192983
4,7004,4,B_shuffled,35,0.7902097902097902,0.6783216783216783
4,7004,4,C_shuffled,35,0.7972027972027972,0.6783216783216783
4,7004,5,B_shuffled,38,0.984375,0.875
4,7004,5,C_shuffled,38,0.984375,0.875
4,7004,6,B_shuffled,39,0.9361111111111111,0.9375
4,7004,6,C_shuffled,39,0.9361111111111111,0.9375
4,7004,7,B_shuffled,39,0.7421052631578947,0.6657894736842105
4,7004,7,C_shuffled,39,0.7394736842105263,0.6657894736842105
4,7004,8,B_shuffled,43,0.7934782608695652,0.7978260869565217
4,7004,8,C_shuffled,43,0.7956521739130434,0.7510869565217391
5,7005,1,B_shuffled,28,0.8222222222222222,0.7833333333333333
5,7005,1,C_shuffled,28,0.8222222222222222,0.7833333333333333
5,7005,2,B_shuffled,41,0.8840579710144928,0.8731884057971014
5,7005,2,C_shuffled,41,0.8840579710144928,0.8731884057971014
5,7005,3,B_shuffled,37,0.9298245614035088,0.8640350877192983
5,7005,3,C_shuffled,37,0.9327485380116959,0.8640350877192983
5,7005,4,B_shuffled,35,0.7727272727272727,0.6783216783216783
5,7005,4,C_shuffled,35,0.7832167832167832,0.6783216783216783
5,7005,5,B_shuffled,38,0.9872159090909091,0.875
5,7005,5,C_shuffled,38,0.9900568181818182,0.875
5,7005,6,B_shuffled,39,0.9416666666666667,0.9375
5,7005,6,C_shuffled,39,0.9388888888888889,0.9375
5,7005,7,B_shuffled,39,0.7447368421052631,0.6657894736842105
5,7005,7,C_shuffled,39,0.7447368421052631,0.6657894736842105
5,7005,8,B_shuffled,43,0.7891304347826087,0.7760869565217392
5,7005,8,C_shuffled,43,0.7913043478260869,0.7760869565217392
